VMName,Folder,diskSize,addDisk,MemSize,CPUCount,Notes,Network,Template,Datastore,svr-la-group,IPAddress,SubMask,gateway
pacs-spectra,PACS,100,1,16,6,Oracle 11g Database Server; H:\ 50GB should be SSD or SAS; O:\ R:\ and W:\ should be on a different LUN completely in case of disk / host failure,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.101,255.255.248.0,172.22.56.1
pacs-spectra,,300,6,,,,,,,,,,
pacs-spectra,,50,5,,,,,,,,,,
pacs-spectra,,450,4,,,,,,,,,,
pacs-spectra,,450,3,,,,,,,,,,
pacs-spectra,,25,2,,,,,,,,,,
pacs-syswatch,PACS,100,1,4,2,,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.102,255.255.248.0,172.22.56.1
pacs-hl7out,PACS,100,1,8,4,outbound HL7 - port to be provided by the customer,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.103,255.255.248.0,172.22.56.1
pacs-hl7in,PACS,100,1,8,4,HL7 inbound data running here,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.104,255.255.248.0,172.22.56.1
pacs-netgate1,PACS,100,1,8,4,DICOM Server #1,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.105,255.255.248.0,172.22.56.1
pacs-netgate2,PACS,100,1,8,4,DICOM Server #2,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.106,255.255.248.0,172.22.56.1
pacs-netgate3,PACS,100,1,8,4,DICOM Server #3,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.107,255.255.248.0,172.22.56.1
pacs-netgate4,PACS,100,1,8,4,DICOM Server #4,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.108,255.255.248.0,172.22.56.1
pacs-ulite,PACS,100,1,8,4,zero footprint viewer server,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.109,255.255.248.0,172.22.56.1
pacs-iis1,PACS,100,1,8,4,web server #1,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.110,255.255.248.0,172.22.56.1
pacs-iis2,PACS,100,1,8,4,web server #2,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.111,255.255.248.0,172.22.56.1
pacs-results,PACS,100,1,8,4,Speech Recognition Server,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.112,255.255.248.0,172.22.56.1
pacs-dose,PACS,100,1,8,4,DOSE collection and access server,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.113,255.255.248.0,172.22.56.1
pacs-comm,PACS,150,1,8,4,Communicator Server w/  DB,PACs-FrontEnd,W2012R2TMPL,pa1_esxvol_prod1,svr-la-infinitt,172.22.57.114,255.255.248.0,172.22.56.1
